"Treatment","RiskRegion","Effluent"
"secondary","Suisun Bay",3.1e-07
"secondary","Suisun Bay",0
"secondary","San Francisco Bay",0
"secondary","San Francisco Bay",0
"secondary","San Pablo Bay",5.7e-07
"secondary","San Pablo Bay",2.9e-07
"tertiary","Suisun Bay",0
"tertiary","Suisun Bay",1.2e-07
"tertiary","Coyote",0
"tertiary","Coyote",0
"tertiary","Coyote",0
"secondary","San Francisco Bay",0
"secondary","San Francisco Bay",4.4e-07
"tertiary","Coyote",1.3e-07
"tertiary","Coyote",0
"tertiary","Coyote",0
"tertiary","Coyote",0
